Municipio;lat;lon
municipio 1;41.893056;12.482778
municipio 2;41.929958;12.518931
municipio 3;41.93608; 12.535116
municipio 4;41.933491;12.598746
municipio 5;41.890665;12.548488
municipio 6;41.869657;12.632731
municipio 7;41.8817; 12.5228
municipio 8;41.841228;12.48429
municipio 9;41.814879;12.47998
municipio 10;41.73066;12.280531
municipio 11;41.855282;12.444762
municipio 12;41.876099;12.4501
municipio 13;41.899141;12.424158
municipio 14;41.940965;12.418627
municipio 15;41.955435;12.484851